,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,username,email,name,gender,age
16,AKX,2022-11-22,2023-09-26,308,Tuesday,691865,USD,56555,500004,38886,0.11310909512723898,0.6875784634426664,0.07777137782897736,45-70,F,kingcindy,rebeccajohnson@example.org,Diana Nichols,F,72
17,BYU,2024-06-06,2025-06-09,368,Thursday,399936,GBP,31535,499999,333280,0.06307012614025229,10.568574599651182,0.6665613331226663,35-40,M,kingcindy,rebeccajohnson@example.org,Diana Nichols,F,72
18,BYU,2024-01-09,2025-01-30,387,Tuesday,986867,GBP,32533,500000,624544,0.065066,19.197245873420833,1.249088,35-45,F,kingcindy,rebeccajohnson@example.org,Diana Nichols,F,72
19,BYU,2023-01-15,2024-04-14,455,Sunday,398909,USD,40645,500000,278255,0.08129,6.845983515807602,0.55651,30-40,M,kingcindy,rebeccajohnson@example.org,Diana Nichols,F,72
20,KTR,2022-12-03,2024-09-06,643,Saturday,907639,EUR,40327,500000,482080,0.080654,11.95427381159025,0.96416,45-55,B,dcain,davischristopher@example.net,Shawn Chavez,M,27
21,BYU,2023-02-11,2024-01-10,333,Saturday,153929,GBP,8923,500000,24135,0.017846,2.704807800067242,0.04827,30-35,B,dcain,davischristopher@example.net,Shawn Chavez,M,27
22,KTR,2024-07-08,2026-07-03,725,Monday,113934,USD,19155,499998,85307,0.03831015324061296,4.453510832680762,0.17061468245872982,25-45,F,dcain,davischristopher@example.net,Shawn Chavez,M,27
23,GRZ,2023-03-30,2024-10-02,552,Thursday,555213,GBP,42917,499998,472918,0.08583434333737334,11.019362956404223,0.9458397833591334,40-55,B,dcain,davischristopher@example.net,Shawn Chavez,M,27
24,AKX,2024-06-23,2025-04-13,294,Sunday,583883,USD,6536,499999,280564,0.013072026144052288,42.92594859241126,0.5611291222582445,30-45,F,dcain,davischristopher@example.net,Shawn Chavez,M,27
25,GRZ,2023-12-10,2025-07-31,599,Sunday,636790,USD,11715,500002,316530,0.02342990628037488,27.01920614596671,0.633057467770129,45-50,F,angelacarter,josephbrett@example.com,Jessica Mason,F,26
26,AKX,2023-09-17,2025-07-19,671,Sunday,52947,EUR,56563,500002,30860,0.11312554749781001,0.5455863373583438,0.061719753120987514,20-25,F,angelacarter,josephbrett@example.com,Jessica Mason,F,26
27,GRZ,2024-02-21,2025-05-11,445,Wednesday,106078,USD,22170,500002,65887,0.04433982264070944,2.9718989625620207,0.13177347290610839,40-50,F,angelacarter,josephbrett@example.com,Jessica Mason,F,26
28,BYU,2023-02-07,2024-03-25,412,Tuesday,54566,USD,16024,500000,21055,0.032048,1.313966550174738,0.04211,25-40,M,angelacarter,josephbrett@example.com,Jessica Mason,F,26
29,GRZ,2024-08-29,2026-07-01,671,Thursday,782067,GBP,67137,499999,56225,0.1342742685485371,0.8374666726246333,0.1124502249004498,40-65,B,angelacarter,josephbrett@example.com,Jessica Mason,F,26
30,BYU,2024-07-15,2025-07-06,356,Monday,921215,EUR,7449,500000,48592,0.014898,6.523291717008995,0.097184,45-60,F,hugheselizabeth,christopher43@example.net,Casey Johnson,M,81
31,GRZ,2022-12-18,2023-01-16,29,Sunday,177087,EUR,4349,500001,4915,0.008697982604034793,1.1301448608875604,0.00982998034003932,45-50,F,hugheselizabeth,christopher43@example.net,Casey Johnson,M,81
32,GRZ,2024-07-09,2025-10-03,451,Tuesday,519389,EUR,19678,500000,19664,0.039356,0.9992885455839008,0.039328,30-45,F,hugheselizabeth,christopher43@example.net,Casey Johnson,M,81
33,KTR,2024-05-29,2026-04-22,693,Wednesday,802352,GBP,7640,499997,105486,0.015280091680550084,13.807068062827225,0.21097326583959503,45-60,F,hugheselizabeth,christopher43@example.net,Casey Johnson,M,81
34,GRZ,2024-02-01,2024-06-08,128,Thursday,982860,USD,40351,500001,102464,0.08070183859632281,2.539317489033729,0.2049275901448197,40-60,B,hugheselizabeth,christopher43@example.net,Casey Johnson,M,81
35,GRZ,2023-03-26,2024-01-06,286,Sunday,471912,USD,94453,499996,173723,0.1889075112600901,1.8392533852815687,0.34744877959023673,20-30,B,hugheselizabeth,christopher43@example.net,Casey Johnson,M,81
36,GRZ,2023-06-28,2023-12-29,184,Wednesday,850271,USD,63772,500001,159422,0.12754374491251017,2.4998745530954025,0.31884336231327537,40-60,B,hugheselizabeth,christopher43@example.net,Casey Johnson,M,81
37,AKX,2023-06-09,2024-12-07,547,Friday,125802,EUR,64763,500000,54577,0.129526,0.8427188363726201,0.109154,20-35,B,christinaray,amoore@example.org,Mr. Shawn Camacho,M,39
38,GRZ,2023-10-09,2025-06-19,619,Monday,364206,GBP,48035,499999,31503,0.09607019214038429,0.6558342874986989,0.06300612601225203,25-40,B,christinaray,amoore@example.org,Mr. Shawn Camacho,M,39
39,KTR,2024-01-06,2024-08-04,211,Saturday,818361,GBP,54055,500001,120498,0.10810978378043244,2.2291739894551847,0.240995518008964,25-35,B,christinaray,amoore@example.org,Mr. Shawn Camacho,M,39
40,KTR,2024-09-08,2026-05-11,610,Sunday,352580,EUR,77054,500001,128005,0.15410769178461642,1.6612375736496483,0.256009487981024,20-35,F,christinaray,amoore@example.org,Mr. Shawn Camacho,M,39
41,BYU,2023-08-19,2024-07-31,347,Saturday,654336,EUR,41672,500001,209692,0.08334383331233337,5.031963908619697,0.4193831612336775,20-35,B,christinaray,amoore@example.org,Mr. Shawn Camacho,M,39
42,KTR,2024-09-02,2024-10-27,55,Monday,924391,GBP,17124,499999,593615,0.03424806849613699,34.66567390796543,1.1872323744647488,20-40,M,christinaray,amoore@example.org,Mr. Shawn Camacho,M,39
43,BYU,2023-11-06,2025-10-23,717,Monday,204056,USD,18774,499999,29169,0.03754807509615019,1.5536912751677852,0.05833811667623335,40-50,M,christinaray,amoore@example.org,Mr. Shawn Camacho,M,39
44,BYU,2024-08-18,2026-04-02,592,Sunday,266847,EUR,86786,499997,38458,0.17357304143824864,0.4431359896757541,0.07691646149876899,25-30,M,christinaray,amoore@example.org,Mr. Shawn Camacho,M,39
45,BYU,2023-06-20,2023-09-17,89,Tuesday,285516,GBP,3470,500001,139897,0.00693998612002776,40.31613832853026,0.27979344041311915,20-45,B,gloria04,suzanne01@example.org,Dawn Valenzuela,F,25
46,BYU,2023-06-14,2024-02-02,233,Wednesday,737924,EUR,48653,500003,15547,0.09730541616750299,0.3195486403716112,0.031093813437119377,25-45,B,gloria04,suzanne01@example.org,Dawn Valenzuela,F,25
47,GRZ,2023-08-31,2024-10-17,413,Thursday,441938,EUR,74822,499999,174892,0.14964429928859857,2.3374408596402128,0.3497846995693991,45-65,M,gloria04,suzanne01@example.org,Dawn Valenzuela,F,25
48,GRZ,2023-01-15,2024-03-31,441,Sunday,695496,EUR,42664,500003,229799,0.08532748803507179,5.386250703168948,0.45959524242854544,25-35,M,gloria04,suzanne01@example.org,Dawn Valenzuela,F,25
49,AKX,2023-10-18,2025-07-21,642,Wednesday,990982,GBP,50498,500000,930060,0.100996,18.417759119173038,1.86012,25-50,F,gloria04,suzanne01@example.org,Dawn Valenzuela,F,25
50,KTR,2024-03-15,2024-04-03,19,Friday,31764,GBP,35273,499998,12046,0.07054628218512873,0.3415076687551385,0.024092096368385475,30-40,F,becky32,larrygarcia@example.net,Denise Shea,F,35
51,BYU,2024-02-05,2025-12-26,690,Monday,222208,USD,60446,500002,31750,0.12089151643393427,0.525262217516461,0.063499746001016,25-30,B,becky32,larrygarcia@example.net,Denise Shea,F,35
52,KTR,2024-05-13,2024-10-11,151,Monday,894142,EUR,38428,500003,707827,0.0768555388667668,18.419563859685645,1.4156455061269633,40-60,B,becky32,larrygarcia@example.net,Denise Shea,F,35
53,AKX,2022-12-21,2023-03-29,98,Wednesday,806210,GBP,2829,499997,427475,0.005658033948203689,151.1046306115235,0.8549551297307784,30-45,M,becky32,larrygarcia@example.net,Denise Shea,F,35
54,BYU,2023-10-25,2024-05-16,204,Wednesday,199059,EUR,68673,499999,121052,0.1373462746925494,1.7627306219329286,0.2421044842089684,30-40,M,becky32,larrygarcia@example.net,Denise Shea,F,35
55,KTR,2023-06-09,2023-11-15,159,Friday,193674,GBP,25818,499997,124427,0.051636309817858904,4.819389573166008,0.2488554931329588,40-55,M,becky32,larrygarcia@example.net,Denise Shea,F,35
56,KTR,2023-04-11,2024-03-18,342,Tuesday,653071,GBP,45465,500001,241799,0.09092981814036372,5.318354778400968,0.4835970328059344,45-60,B,becky32,larrygarcia@example.net,Denise Shea,F,35
57,BYU,2024-04-04,2025-10-24,568,Thursday,469719,USD,17733,500001,250772,0.03546592906814186,14.141544013985225,0.5015429969140062,35-45,F,davidsonrobert,jamiewhite@example.org,Daniel Morse,M,85
58,AKX,2023-08-07,2023-12-14,129,Monday,977231,EUR,38333,499998,409537,0.07666630666522666,10.683666814494039,0.8190772763091052,30-40,M,davidsonrobert,jamiewhite@example.org,Daniel Morse,M,85
59,BYU,2024-01-04,2024-08-08,217,Thursday,507490,GBP,29938,499998,426687,0.05987623950495802,14.252354866724565,0.853377413509654,20-30,B,davidsonrobert,jamiewhite@example.org,Daniel Morse,M,85
60,KTR,2022-11-20,2023-06-29,221,Sunday,510207,GBP,9831,499997,391934,0.019662117972707838,39.867154918116164,0.7838727032362194,25-35,F,davidsonrobert,jamiewhite@example.org,Daniel Morse,M,85
61,GRZ,2023-07-07,2024-01-12,189,Friday,252978,USD,6759,499999,237193,0.013518027036054071,35.09291315283326,0.47438694877389753,45-70,B,davidsonrobert,jamiewhite@example.org,Daniel Morse,M,85
62,KTR,2023-02-28,2024-03-04,370,Tuesday,684437,USD,57627,499996,472976,0.11525492203937632,8.207541603762126,0.9459595676765414,25-30,B,davidsonrobert,jamiewhite@example.org,Daniel Morse,M,85
63,AKX,2024-05-23,2025-07-08,411,Thursday,371850,USD,27239,500001,326317,0.054477891044217915,11.979771650941665,0.6526326947346105,20-40,B,inewman,meganlong@example.org,Michael Patterson,M,37
64,GRZ,2024-01-08,2025-10-17,648,Monday,634382,EUR,36738,500004,344727,0.07347541219670242,9.383390494855464,0.6894484844121247,40-55,F,inewman,meganlong@example.org,Michael Patterson,M,37
65,KTR,2024-01-09,2024-07-12,185,Tuesday,624578,EUR,55149,500002,441669,0.11029755880976476,8.008649295544798,0.8833344666621333,30-55,B,inewman,meganlong@example.org,Michael Patterson,M,37
66,GRZ,2023-08-03,2024-05-29,300,Thursday,384016,GBP,20265,499999,158981,0.04053008106016212,7.845102393288922,0.31796263592527185,40-55,M,inewman,meganlong@example.org,Michael Patterson,M,37
67,AKX,2023-02-16,2024-11-15,638,Thursday,703480,EUR,31703,500000,698976,0.063406,22.047629561871116,1.397952,25-35,F,wfarrell,iward@example.com,Henry Pearson,M,49
68,AKX,2023-07-25,2024-04-21,271,Tuesday,524112,EUR,17249,499999,60002,0.03449806899613799,3.478578468317004,0.12000424000848002,45-60,B,wfarrell,iward@example.com,Henry Pearson,M,49
69,KTR,2022-12-24,2023-07-06,194,Saturday,133854,EUR,5455,499998,70973,0.01091004364017456,13.010632447296059,0.14194656778627116,30-40,B,wfarrell,iward@example.com,Henry Pearson,M,49
70,GRZ,2023-07-14,2025-05-30,686,Friday,602260,EUR,12969,499999,8682,0.025938051876103752,0.669442516770761,0.017364034728069456,30-35,M,wfarrell,iward@example.com,Henry Pearson,M,49
71,AKX,2024-06-30,2025-04-22,296,Sunday,574745,USD,88948,500001,322328,0.1778956442087116,3.6237801861761927,0.6446547106905787,40-65,F,wfarrell,iward@example.com,Henry Pearson,M,49
72,KTR,2024-08-20,2026-04-13,601,Tuesday,397617,GBP,53564,500000,80770,0.107128,1.5079157643193188,0.16154,20-35,B,grace44,stephaniemcbride@example.com,Judy Allen,F,86
73,AKX,2023-02-04,2024-09-24,598,Saturday,323170,EUR,50819,499997,9473,0.101638609831659,0.18640665892677935,0.01894611367668206,40-60,B,grace44,stephaniemcbride@example.com,Judy Allen,F,86
74,AKX,2023-10-23,2024-02-15,115,Monday,117904,GBP,51184,499998,76645,0.1023684094736379,1.4974406064395123,0.15329061316245265,45-60,M,grace44,stephaniemcbride@example.com,Judy Allen,F,86
75,KTR,2023-10-07,2023-11-12,36,Saturday,762082,EUR,65680,500001,320234,0.13135973728052544,4.875669914738125,0.6404667190665618,25-50,M,grace44,stephaniemcbride@example.com,Judy Allen,F,86
76,AKX,2024-05-08,2025-08-25,474,Wednesday,350457,EUR,42183,500000,337335,0.084366,7.996941896024465,0.67467,30-55,M,grace44,stephaniemcbride@example.com,Judy Allen,F,86
77,KTR,2023-03-21,2024-03-25,370,Tuesday,920233,USD,25025,499997,375061,0.05005030030180181,14.987452547452547,0.7501265007590046,35-60,M,grace44,stephaniemcbride@example.com,Judy Allen,F,86
78,GRZ,2023-10-16,2024-08-26,315,Monday,190977,GBP,45839,500002,49630,0.09167763328946685,1.0827025022360872,0.09925960296158816,45-70,B,tracy17,phillipjuarez@example.org,Mrs. Bonnie Roach,F,81
79,BYU,2023-05-11,2023-06-05,25,Thursday,15030,EUR,24642,499998,11775,0.04928419713678855,0.4778427075724373,0.023550094200376803,30-50,M,tracy17,phillipjuarez@example.org,Mrs. Bonnie Roach,F,81
80,BYU,2024-08-08,2025-05-08,273,Thursday,322517,GBP,58435,500000,296342,0.11687,5.071310002566955,0.592684,20-45,B,tracy17,phillipjuarez@example.org,Mrs. Bonnie Roach,F,81
81,BYU,2023-10-01,2024-02-28,150,Sunday,675366,GBP,54614,500001,139883,0.10922778154443691,2.56130296261032,0.27976544046911905,45-70,B,tracy17,phillipjuarez@example.org,Mrs. Bonnie Roach,F,81
82,GRZ,2024-03-03,2024-12-15,287,Sunday,817563,EUR,22893,500000,672866,0.045786,29.391779146463985,1.345732,25-50,M,tracy17,phillipjuarez@example.org,Mrs. Bonnie Roach,F,81
83,GRZ,2023-09-08,2024-02-19,164,Friday,478668,GBP,36643,499998,141655,0.07328629314517258,3.86581338864176,0.283311133244533,20-35,F,warrenrebecca,kaylanewman@example.com,Samantha Stewart,F,61
84,BYU,2023-02-15,2023-09-12,209,Wednesday,738107,EUR,75346,500001,435002,0.15069169861660275,5.773392084516763,0.87000225999548,35-50,M,warrenrebecca,kaylanewman@example.com,Samantha Stewart,F,61
85,GRZ,2023-07-04,2023-10-28,116,Tuesday,149186,EUR,51359,499998,15769,0.1027184108736435,0.3070347942911661,0.03153812615250461,35-50,B,warrenrebecca,kaylanewman@example.com,Samantha Stewart,F,61
86,KTR,2024-10-16,2025-07-08,265,Wednesday,656623,EUR,11287,500001,465670,0.022573954852090294,41.257198547000975,0.9313381373237254,40-65,B,warrenrebecca,kaylanewman@example.com,Samantha Stewart,F,61
87,BYU,2023-03-02,2024-04-07,402,Thursday,574513,EUR,25215,499998,213902,0.05043020172080688,8.483125123934165,0.4278057112228449,35-40,M,tylersutton,heidi05@example.org,Sheila Riddle,F,40
88,GRZ,2023-06-30,2024-08-03,400,Friday,188031,EUR,11319,500000,185173,0.022638,16.359484053361605,0.370346,25-35,B,tylersutton,heidi05@example.org,Sheila Riddle,F,40
89,GRZ,2024-05-22,2025-02-11,265,Wednesday,16715,USD,17394,499998,12502,0.03478813915255661,0.7187535931930551,0.025004100016400067,30-35,B,tylersutton,heidi05@example.org,Sheila Riddle,F,40
90,GRZ,2024-07-03,2024-11-24,144,Wednesday,431329,USD,94468,499996,243752,0.188937511500092,2.5802599822162002,0.4875079000632005,20-35,B,tylersutton,heidi05@example.org,Sheila Riddle,F,40
91,AKX,2024-02-26,2025-05-13,442,Monday,311805,EUR,66565,499999,223789,0.1331302662605325,3.3619619920378576,0.4475788951577903,30-55,B,tylersutton,heidi05@example.org,Sheila Riddle,F,40
92,KTR,2024-10-05,2025-11-20,411,Saturday,767457,EUR,42855,499999,672506,0.08571017142034285,15.692591296231479,1.34501469002938,40-65,M,tylersutton,heidi05@example.org,Sheila Riddle,F,40
93,BYU,2024-08-28,2024-12-04,98,Wednesday,38471,USD,18392,499998,27997,0.03678414713658855,1.5222379295345803,0.05599422397689591,40-60,F,tylersutton,heidi05@example.org,Sheila Riddle,F,40
94,BYU,2023-06-11,2023-12-03,175,Sunday,107461,USD,38002,500002,40631,0.07600369598521606,1.0691805694437135,0.08126167495330018,45-65,B,ramseyangela,andrewellis@example.net,David Peterson,M,78
95,AKX,2023-07-01,2024-07-21,386,Saturday,308858,GBP,4474,499997,253704,0.00894805368832213,56.706303084488155,0.5074110444662668,40-50,M,ramseyangela,andrewellis@example.net,David Peterson,M,78
96,GRZ,2024-03-12,2025-03-24,377,Tuesday,279266,USD,74598,499998,225913,0.14919659678638714,3.0284055872811604,0.45182780731122923,20-25,F,sfletcher,jennifertucker@example.net,Sandra Walker,F,58
97,AKX,2023-02-16,2024-10-06,598,Thursday,455429,GBP,33955,499999,217665,0.06791013582027164,6.41039611250184,0.4353308706617413,45-55,B,sfletcher,jennifertucker@example.net,Sandra Walker,F,58
98,GRZ,2022-12-27,2023-05-26,150,Tuesday,845334,EUR,28957,500000,211678,0.057914,7.310080464136478,0.423356,35-45,B,sfletcher,jennifertucker@example.net,Sandra Walker,F,58
99,KTR,2022-11-11,2023-06-26,227,Friday,827828,USD,25572,500002,364318,0.0511437954248183,14.246754262474582,0.7286330854676581,35-45,M,tuckersara,hollyhogan@example.org,Valerie Miller,F,31
100,GRZ,2024-06-21,2025-03-18,270,Friday,734291,GBP,72247,500000,550910,0.144494,7.625368527412903,1.10182,35-45,M,tuckersara,hollyhogan@example.org,Valerie Miller,F,31
101,KTR,2023-10-01,2024-02-18,140,Sunday,293736,GBP,37995,500001,163681,0.07598984802030397,4.307961573891301,0.3273613452773094,30-55,F,tuckersara,hollyhogan@example.org,Valerie Miller,F,31
102,BYU,2023-11-21,2025-11-07,717,Tuesday,679695,GBP,59093,500000,520571,0.118186,8.809351361413365,1.041142,45-60,M,tuckersara,hollyhogan@example.org,Valerie Miller,F,31
103,AKX,2023-05-14,2024-12-13,579,Sunday,756937,EUR,60342,499999,97006,0.12068424136848274,1.6076033276987836,0.19401238802477605,20-25,F,tuckersara,hollyhogan@example.org,Valerie Miller,F,31
104,GRZ,2024-10-15,2026-09-04,689,Tuesday,37285,USD,95355,499998,14037,0.19071076284305138,0.14720780242252635,0.028074112296449186,20-25,B,kim45,ramirezwilliam@example.com,Tommy Simon,M,25
105,BYU,2022-11-23,2022-12-12,19,Wednesday,525043,EUR,84555,500000,82394,0.16911,0.9744426704511856,0.164788,35-60,M,kim45,ramirezwilliam@example.com,Tommy Simon,M,25
106,KTR,2024-02-10,2024-11-09,273,Saturday,987530,USD,19124,499995,98608,0.03824838248382484,5.156243463710521,0.19721797217972178,40-55,M,kim45,ramirezwilliam@example.com,Tommy Simon,M,25
107,AKX,2022-11-20,2023-04-26,157,Sunday,637774,USD,63001,499999,225646,0.12600225200450402,3.581625688481135,0.4512929025858052,45-70,M,kim45,ramirezwilliam@example.com,Tommy Simon,M,25
108,BYU,2023-12-28,2025-08-02,583,Thursday,287885,GBP,32856,499996,26810,0.0657125257002056,0.8159849038227417,0.05362042896343171,35-45,B,kim45,ramirezwilliam@example.com,Tommy Simon,M,25
109,BYU,2023-05-05,2025-01-24,630,Friday,471602,USD,81897,499997,55158,0.16379498276989662,0.6735045239752372,0.1103166618999714,40-65,M,kim45,ramirezwilliam@example.com,Tommy Simon,M,25
110,BYU,2024-02-15,2024-03-01,15,Thursday,100869,EUR,8992,499998,41619,0.017984071936287746,4.628447508896797,0.08323833295333181,30-45,F,kim45,ramirezwilliam@example.com,Tommy Simon,M,25
111,GRZ,2024-09-15,2026-06-09,632,Sunday,714447,USD,20661,499998,664494,0.04132216528866115,32.16175402933062,1.3289933159732639,30-55,M,kim45,ramirezwilliam@example.com,Tommy Simon,M,25
112,GRZ,2023-11-03,2025-08-05,641,Friday,138950,EUR,19404,499996,11005,0.03880831046648373,0.5671511028653886,0.02201017608140865,25-30,F,amber01,aguilarlinda@example.org,Denise Doyle,F,80
113,BYU,2023-09-27,2025-02-04,496,Wednesday,501519,GBP,23550,499999,297426,0.0471000942001884,12.62955414012739,0.5948531897063795,35-45,M,amber01,aguilarlinda@example.org,Denise Doyle,F,80
114,GRZ,2022-12-07,2023-10-04,301,Wednesday,707730,USD,15735,499998,449449,0.03147012588050352,28.563647918652684,0.8989015956063824,25-50,M,amber01,aguilarlinda@example.org,Denise Doyle,F,80
115,KTR,2023-01-02,2024-04-25,479,Monday,798155,GBP,53125,499997,279210,0.10625063750382502,5.255717647058823,0.5584233505401033,30-55,B,amber01,aguilarlinda@example.org,Denise Doyle,F,80
116,GRZ,2023-09-03,2023-12-06,94,Sunday,692243,EUR,46615,500000,602090,0.09323,12.9162286817548,1.20418,35-45,M,amber01,aguilarlinda@example.org,Denise Doyle,F,80
117,KTR,2024-01-18,2025-06-20,519,Thursday,686780,EUR,70931,500000,429997,0.141862,6.062187196007388,0.859994,35-55,F,amber01,aguilarlinda@example.org,Denise Doyle,F,80
118,BYU,2024-03-14,2026-03-12,728,Thursday,294480,EUR,64151,500001,76808,0.1283017433965132,1.1973001200293059,0.15361569276861448,25-35,M,amber01,aguilarlinda@example.org,Denise Doyle,F,80
119,BYU,2023-03-11,2024-06-29,476,Saturday,708001,EUR,65082,500001,209191,0.13016373967252065,3.214268154021081,0.41838116323767355,35-50,F,joshua45,schen@example.org,Lynn Guerrero,F,59
120,BYU,2023-10-18,2025-09-18,701,Wednesday,528132,GBP,42196,500001,91684,0.08439183121633757,2.172812588870983,0.18336763326473346,35-45,M,joshua45,schen@example.org,Lynn Guerrero,F,59
121,KTR,2023-02-07,2023-10-18,253,Tuesday,466199,GBP,70949,500000,396091,0.141898,5.582756628000395,0.792182,30-45,F,joshua45,schen@example.org,Lynn Guerrero,F,59
122,BYU,2023-10-20,2024-07-19,273,Friday,334465,EUR,38577,499999,309141,0.07715415430830862,8.013609145345672,0.6182832365664731,20-40,B,joshua45,schen@example.org,Lynn Guerrero,F,59
123,AKX,2023-08-09,2024-07-05,331,Wednesday,834521,USD,38727,499999,204622,0.07745415490830981,5.283703875848891,0.40924481848963695,45-60,B,joshua45,schen@example.org,Lynn Guerrero,F,59
124,GRZ,2023-07-16,2023-11-10,117,Sunday,340940,GBP,60855,500000,142605,0.12171,2.3433571604633965,0.28521,30-50,F,carrshelly,stephaniegross@example.com,Alexis Valenzuela,F,36
125,KTR,2024-08-21,2025-07-26,339,Wednesday,456615,EUR,15998,499999,224831,0.03199606399212798,14.053694211776472,0.44966289932579867,35-60,M,carrshelly,stephaniegross@example.com,Alexis Valenzuela,F,36
126,BYU,2024-04-28,2025-05-12,379,Sunday,693044,USD,28907,500000,240220,0.057814,8.31009790016259,0.48044,20-40,F,ryanann,jenniferbriggs@example.net,Dana Dorsey,F,37
127,GRZ,2023-12-20,2024-12-15,361,Wednesday,117168,EUR,25422,499999,52121,0.05084410168820338,2.050232082448273,0.10424220848441697,40-55,B,ryanann,jenniferbriggs@example.net,Dana Dorsey,F,37
128,KTR,2024-08-28,2025-11-30,459,Wednesday,908841,USD,13864,499998,878405,0.02772811091244365,63.35869878822851,1.7568170272681092,20-40,B,ryanann,jenniferbriggs@example.net,Dana Dorsey,F,37
129,AKX,2024-09-19,2026-08-08,688,Thursday,713585,EUR,44123,499999,293127,0.08824617649235299,6.643405933413413,0.586255172510345,40-65,B,ryanann,jenniferbriggs@example.net,Dana Dorsey,F,37
130,BYU,2024-03-12,2025-10-25,592,Tuesday,522142,EUR,12431,499999,196986,0.024862049724099448,15.846351862279784,0.3939727879455759,40-45,F,ryanann,jenniferbriggs@example.net,Dana Dorsey,F,37
131,KTR,2022-12-17,2023-09-03,260,Saturday,258794,USD,67174,499998,210012,0.13434853739414956,3.126388185905261,0.4200256801027204,30-45,B,ryanann,jenniferbriggs@example.net,Dana Dorsey,F,37
132,AKX,2024-03-27,2024-09-10,167,Wednesday,295760,EUR,16386,500000,60882,0.032772,3.715488831929696,0.121764,30-40,M,ryanann,jenniferbriggs@example.net,Dana Dorsey,F,37
133,BYU,2023-05-16,2024-09-24,497,Tuesday,867233,GBP,34530,500001,470646,0.06905986188027624,13.630060816681146,0.9412901174197652,20-40,M,ryanann,jenniferbriggs@example.net,Dana Dorsey,F,37
134,AKX,2023-11-04,2024-04-12,160,Saturday,792832,EUR,46279,500001,22232,0.09255781488437023,0.4803906739557899,0.044463911072177856,40-60,B,andersonbrittany,emily64@example.net,Kaylee Gibson,F,78
